key_0,pokedex_number,name,date_published,generation,status,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_experience,percentage_male,Experience to level 100
47,36,Clefable,1996,1,Normal,1,Fairy,,1.3,40.0,3,Cute Charm,Magic Guard,Unaware,483.0,95.0,70.0,73.0,95.0,90.0,60.0,25.0,217.0,25.0,1000000
48,37,Vulpix,1996,1,Normal,1,Fire,,0.6,9.9,2,Flash Fire,,Drought,299.0,38.0,41.0,40.0,50.0,65.0,65.0,190.0,60.0,25.0,1000000
49,37,Alolan Vulpix,1996,1,Normal,1,Ice,,0.6,9.9,2,Snow Cloak,,Snow Warning,299.0,38.0,41.0,40.0,50.0,65.0,65.0,190.0,60.0,25.0,1000000
50,38,Ninetales,1996,1,Normal,1,Fire,,1.1,19.9,2,Flash Fire,,Drought,505.0,73.0,76.0,75.0,81.0,100.0,100.0,75.0,177.0,25.0,1000000
51,38,Alolan Ninetales,1996,1,Normal,2,Ice,Fairy,1.1,19.9,2,Snow Cloak,,Snow Warning,505.0,73.0,67.0,75.0,81.0,100.0,109.0,75.0,177.0,25.0,800000
52,39,Jigglypuff,1996,1,Normal,2,Normal,Fairy,0.5,5.5,3,Cute Charm,Competitive,Friend Guard,270.0,115.0,45.0,20.0,45.0,25.0,20.0,170.0,95.0,25.0,800000
53,40,Wigglytuff,1996,1,Normal,2,Normal,Fairy,1.0,12.0,3,Cute Charm,Competitive,Frisk,435.0,140.0,70.0,45.0,85.0,50.0,45.0,50.0,196.0,25.0,1000000
54,41,Zubat,1996,1,Normal,2,Poison,Flying,0.8,7.5,2,Inner Focus,,Infiltrator,245.0,40.0,45.0,35.0,30.0,40.0,55.0,255.0,49.0,50.0,1000000
55,42,Golbat,1996,1,Normal,2,Poison,Flying,1.6,55.0,2,Inner Focus,,Infiltrator,455.0,75.0,80.0,70.0,65.0,75.0,90.0,90.0,159.0,50.0,1059860
56,43,Oddish,1996,1,Normal,2,Grass,Poison,0.5,5.4,2,Chlorophyll,,Run Away,320.0,45.0,50.0,55.0,75.0,65.0,30.0,255.0,64.0,50.0,1059860
57,44,Gloom,1996,1,Normal,2,Grass,Poison,0.8,8.6,2,Chlorophyll,,Stench,395.0,60.0,65.0,70.0,85.0,75.0,40.0,120.0,138.0,50.0,1059860
58,45,Vileplume,1996,1,Normal,2,Grass,Poison,1.2,18.6,2,Chlorophyll,,Effect Spore,490.0,75.0,80.0,85.0,110.0,90.0,50.0,45.0,221.0,50.0,1000000
59,46,Paras,1996,1,Normal,2,Bug,Grass,0.3,5.4,3,Effect Spore,Dry Skin,Damp,285.0,35.0,70.0,55.0,45.0,55.0,25.0,190.0,57.0,50.0,1000000
60,47,Parasect,1996,1,Normal,2,Bug,Grass,1.0,29.5,3,Effect Spore,Dry Skin,Damp,405.0,60.0,95.0,80.0,60.0,80.0,30.0,75.0,142.0,50.0,1000000
61,48,Venonat,1996,1,Normal,2,Bug,Poison,1.0,30.0,3,Compound Eyes,Tinted Lens,Run Away,305.0,60.0,55.0,50.0,40.0,55.0,45.0,190.0,61.0,50.0,1000000
62,49,Venomoth,1996,1,Normal,2,Bug,Poison,1.5,12.5,3,Shield Dust,Tinted Lens,Wonder Skin,450.0,70.0,65.0,60.0,90.0,75.0,90.0,75.0,158.0,50.0,1000000
63,50,Diglett,1996,1,Normal,1,Ground,,0.2,0.8,3,Sand Veil,Arena Trap,Sand Force,265.0,10.0,55.0,25.0,35.0,45.0,95.0,255.0,53.0,50.0,1000000
64,50,Alolan Diglett,1996,1,Normal,2,Ground,Steel,0.2,1.0,3,Sand Veil,Tangling Hair,Sand Force,265.0,10.0,55.0,30.0,35.0,45.0,90.0,255.0,53.0,50.0,1000000
65,51,Dugtrio,1996,1,Normal,1,Ground,,0.7,33.3,3,Sand Veil,Arena Trap,Sand Force,425.0,35.0,100.0,50.0,50.0,70.0,120.0,50.0,149.0,50.0,1000000
66,51,Alolan Dugtrio,1996,1,Normal,2,Ground,Steel,0.7,66.6,3,Sand Veil,Tangling Hair,Sand Force,425.0,35.0,100.0,60.0,50.0,70.0,110.0,50.0,149.0,50.0,1000000
67,52,Meowth,1996,1,Normal,1,Normal,,0.4,4.2,3,Pickup,Technician,Unnerve,290.0,40.0,45.0,35.0,40.0,40.0,90.0,255.0,58.0,50.0,1000000
68,52,Alolan Meowth,1996,1,Normal,1,Dark,,0.4,4.2,3,Pickup,Technician,Rattled,290.0,40.0,35.0,35.0,50.0,40.0,90.0,255.0,58.0,50.0,1000000
69,52,Galarian Meowth,1996,1,Normal,1,Steel,,0.4,7.5,3,Pickup,Tough Claws,Unnerve,290.0,50.0,65.0,55.0,40.0,40.0,40.0,,,,1000000
70,53,Persian,1996,1,Normal,1,Normal,,1.0,32.0,3,Limber,Technician,Unnerve,440.0,65.0,70.0,60.0,65.0,65.0,115.0,90.0,154.0,50.0,1000000
71,53,Alolan Persian,1996,1,Normal,1,Dark,,1.1,33.0,3,Fur Coat,Technician,Rattled,440.0,65.0,60.0,60.0,75.0,65.0,115.0,90.0,154.0,50.0,1000000
72,54,Psyduck,1996,1,Normal,1,Water,,0.8,19.6,3,Damp,Cloud Nine,Swift Swim,320.0,50.0,52.0,48.0,65.0,50.0,55.0,190.0,64.0,50.0,1000000
73,55,Golduck,1996,1,Normal,1,Water,,1.7,76.6,3,Damp,Cloud Nine,Swift Swim,500.0,80.0,82.0,78.0,95.0,80.0,85.0,75.0,175.0,50.0,1000000
74,56,Mankey,1996,1,Normal,1,Fighting,,0.5,28.0,3,Vital Spirit,Anger Point,Defiant,305.0,40.0,80.0,35.0,35.0,45.0,70.0,190.0,61.0,50.0,1000000
75,57,Primeape,1996,1,Normal,1,Fighting,,1.0,32.0,3,Vital Spirit,Anger Point,Defiant,455.0,65.0,105.0,60.0,60.0,70.0,95.0,75.0,159.0,50.0,1250000
76,58,Growlithe,1996,1,Normal,1,Fire,,0.7,19.0,3,Intimidate,Flash Fire,Justified,350.0,55.0,70.0,45.0,70.0,50.0,60.0,190.0,70.0,75.0,1250000
77,59,Arcanine,1996,1,Normal,1,Fire,,1.9,155.0,3,Intimidate,Flash Fire,Justified,555.0,90.0,110.0,80.0,100.0,80.0,95.0,75.0,194.0,75.0,1059860
78,60,Poliwag,1996,1,Normal,1,Water,,0.6,12.4,3,Water Absorb,Damp,Swift Swim,300.0,40.0,50.0,40.0,40.0,40.0,90.0,255.0,60.0,50.0,1059860
79,61,Poliwhirl,1996,1,Normal,1,Water,,1.0,20.0,3,Water Absorb,Damp,Swift Swim,385.0,65.0,65.0,65.0,50.0,50.0,90.0,120.0,135.0,50.0,1059860
80,62,Poliwrath,1996,1,Normal,2,Water,Fighting,1.3,54.0,3,Water Absorb,Damp,Swift Swim,510.0,90.0,95.0,95.0,70.0,90.0,70.0,45.0,230.0,50.0,1059860
81,63,Abra,1996,1,Normal,1,Psychic,,0.9,19.5,3,Synchronize,Inner Focus,Magic Guard,310.0,25.0,20.0,15.0,105.0,55.0,90.0,200.0,62.0,75.0,1059860
82,64,Kadabra,1996,1,Normal,1,Psychic,,1.3,56.5,3,Synchronize,Inner Focus,Magic Guard,400.0,40.0,35.0,30.0,120.0,70.0,105.0,100.0,140.0,75.0,1059860
83,65,Alakazam,1996,1,Normal,1,Psychic,,1.5,48.0,3,Synchronize,Inner Focus,Magic Guard,500.0,55.0,50.0,45.0,135.0,95.0,120.0,50.0,225.0,75.0,1059860
84,65,Mega Alakazam,1996,1,Normal,1,Psychic,,1.2,48.0,1,Trace,,,600.0,55.0,50.0,65.0,175.0,105.0,150.0,50.0,270.0,75.0,1059860
85,66,Machop,1996,1,Normal,1,Fighting,,0.8,19.5,3,Guts,No Guard,Steadfast,305.0,70.0,80.0,50.0,35.0,35.0,35.0,180.0,61.0,75.0,1059860
86,67,Machoke,1996,1,Normal,1,Fighting,,1.5,70.5,3,Guts,No Guard,Steadfast,405.0,80.0,100.0,70.0,50.0,60.0,45.0,90.0,142.0,75.0,1059860
87,68,Machamp,1996,1,Normal,1,Fighting,,1.6,130.0,3,Guts,No Guard,Steadfast,505.0,90.0,130.0,80.0,65.0,85.0,55.0,45.0,227.0,75.0,1059860
88,69,Bellsprout,1996,1,Normal,2,Grass,Poison,0.7,4.0,2,Chlorophyll,,Gluttony,300.0,50.0,75.0,35.0,70.0,30.0,40.0,255.0,60.0,50.0,1059860
89,70,Weepinbell,1996,1,Normal,2,Grass,Poison,1.0,6.4,2,Chlorophyll,,Gluttony,390.0,65.0,90.0,50.0,85.0,45.0,55.0,120.0,137.0,50.0,1059860
90,71,Victreebel,1996,1,Normal,2,Grass,Poison,1.7,15.5,2,Chlorophyll,,Gluttony,490.0,80.0,105.0,65.0,100.0,70.0,70.0,45.0,221.0,50.0,1250000
91,72,Tentacool,1996,1,Normal,2,Water,Poison,0.9,45.5,3,Clear Body,Liquid Ooze,Rain Dish,335.0,40.0,40.0,35.0,50.0,100.0,70.0,190.0,67.0,50.0,1250000
92,73,Tentacruel,1996,1,Normal,2,Water,Poison,1.6,55.0,3,Clear Body,Liquid Ooze,Rain Dish,515.0,80.0,70.0,65.0,80.0,120.0,100.0,60.0,180.0,50.0,1059860
93,74,Geodude,1996,1,Normal,2,Rock,Ground,0.4,20.0,3,Rock Head,Sturdy,Sand Veil,300.0,40.0,80.0,100.0,30.0,30.0,20.0,255.0,60.0,50.0,1059860
94,74,Alolan Geodude,1996,1,Normal,2,Rock,Electric,0.4,20.3,3,Magnet Pull,Sturdy,Galvanize,300.0,40.0,80.0,100.0,30.0,30.0,20.0,255.0,60.0,50.0,1059860
95,75,Graveler,1996,1,Normal,2,Rock,Ground,1.0,105.0,3,Rock Head,Sturdy,Sand Veil,390.0,55.0,95.0,115.0,45.0,45.0,35.0,120.0,137.0,50.0,1059860
96,75,Alolan Graveler,1996,1,Normal,2,Rock,Electric,1.0,110.0,3,Magnet Pull,Sturdy,Galvanize,390.0,55.0,95.0,115.0,45.0,45.0,35.0,120.0,137.0,50.0,1059860
97,76,Golem,1996,1,Normal,2,Rock,Ground,1.4,300.0,3,Rock Head,Sturdy,Sand Veil,495.0,80.0,120.0,130.0,55.0,65.0,45.0,45.0,223.0,50.0,1059860
98,76,Alolan Golem,1996,1,Normal,2,Rock,Electric,1.7,316.0,3,Magnet Pull,Sturdy,Galvanize,495.0,80.0,120.0,130.0,55.0,65.0,45.0,45.0,223.0,50.0,1000000
99,77,Ponyta,1996,1,Normal,1,Fire,,1.0,30.0,3,Run Away,Flash Fire,Flame Body,410.0,50.0,85.0,55.0,65.0,65.0,90.0,190.0,82.0,50.0,1000000
100,77,Galarian Ponyta,1996,1,Normal,1,Psychic,,0.8,24.0,3,Run Away,Pastel Veil,Anticipation,410.0,50.0,85.0,55.0,65.0,65.0,90.0,,,,1000000
101,78,Rapidash,1996,1,Normal,1,Fire,,1.7,95.0,3,Run Away,Flash Fire,Flame Body,500.0,65.0,100.0,70.0,80.0,80.0,105.0,60.0,175.0,50.0,1000000
102,78,Galarian Rapidash,1996,1,Normal,2,Psychic,Fairy,1.7,80.0,3,Run Away,Pastel Veil,Anticipation,500.0,65.0,100.0,70.0,80.0,80.0,105.0,,,,1000000
103,79,Slowpoke,1996,1,Normal,2,Water,Psychic,1.2,36.0,3,Oblivious,Own Tempo,Regenerator,315.0,90.0,65.0,65.0,40.0,40.0,15.0,190.0,63.0,50.0,1000000
104,80,Slowbro,1996,1,Normal,2,Water,Psychic,1.6,78.5,3,Oblivious,Own Tempo,Regenerator,490.0,95.0,75.0,110.0,100.0,80.0,30.0,75.0,172.0,50.0,1000000
105,80,Mega Slowbro,1996,1,Normal,2,Water,Psychic,2.0,120.0,1,Shell Armor,,,590.0,95.0,75.0,180.0,130.0,80.0,30.0,75.0,207.0,50.0,1000000
106,81,Magnemite,1996,1,Normal,2,Electric,Steel,0.3,6.0,3,Magnet Pull,Sturdy,Analytic,325.0,25.0,35.0,70.0,95.0,55.0,45.0,190.0,65.0,,1000000
107,82,Magneton,1996,1,Normal,2,Electric,Steel,1.0,60.0,3,Magnet Pull,Sturdy,Analytic,465.0,50.0,60.0,95.0,120.0,70.0,70.0,60.0,163.0,,1000000
108,83,Farfetch'd,1996,1,Normal,2,Normal,Flying,0.8,15.0,3,Keen Eye,Inner Focus,Defiant,377.0,52.0,90.0,55.0,58.0,62.0,60.0,45.0,132.0,50.0,1000000
109,83,Galarian Farfetch'd,1996,1,Normal,1,Fighting,,0.8,42.0,2,Steadfast,,Scrappy,377.0,52.0,95.0,55.0,58.0,62.0,55.0,,,,1000000
110,84,Doduo,1996,1,Normal,2,Normal,Flying,1.4,39.2,3,Run Away,Early Bird,Tangled Feet,310.0,35.0,85.0,45.0,35.0,35.0,75.0,190.0,62.0,50.0,1000000
111,85,Dodrio,1996,1,Normal,2,Normal,Flying,1.8,85.2,3,Run Away,Early Bird,Tangled Feet,470.0,60.0,110.0,70.0,60.0,60.0,110.0,45.0,165.0,50.0,1000000
112,86,Seel,1996,1,Normal,1,Water,,1.1,90.0,3,Thick Fat,Hydration,Ice Body,325.0,65.0,45.0,55.0,45.0,70.0,45.0,190.0,65.0,50.0,1000000
113,87,Dewgong,1996,1,Normal,2,Water,Ice,1.7,120.0,3,Thick Fat,Hydration,Ice Body,475.0,90.0,70.0,80.0,70.0,95.0,70.0,75.0,166.0,50.0,1000000
114,88,Grimer,1996,1,Normal,1,Poison,,0.9,30.0,3,Stench,Sticky Hold,Poison Touch,325.0,80.0,80.0,50.0,40.0,50.0,25.0,190.0,65.0,50.0,1000000
115,88,Alolan Grimer,1996,1,Normal,2,Poison,Dark,0.7,42.0,3,Poison Touch,Gluttony,Power of Alchemy,325.0,80.0,80.0,50.0,40.0,50.0,25.0,190.0,65.0,50.0,1000000
116,89,Muk,1996,1,Normal,1,Poison,,1.2,30.0,3,Stench,Sticky Hold,Poison Touch,500.0,105.0,105.0,75.0,65.0,100.0,50.0,75.0,175.0,50.0,1000000
117,89,Alolan Muk,1996,1,Normal,2,Poison,Dark,1.0,52.0,3,Poison Touch,Gluttony,Power of Alchemy,500.0,105.0,105.0,75.0,65.0,100.0,50.0,75.0,175.0,50.0,1000000
118,90,Shellder,1996,1,Normal,1,Water,,0.3,4.0,3,Shell Armor,Skill Link,Overcoat,305.0,30.0,65.0,100.0,45.0,25.0,40.0,190.0,61.0,50.0,1000000
119,91,Cloyster,1996,1,Normal,2,Water,Ice,1.5,132.5,3,Shell Armor,Skill Link,Overcoat,525.0,50.0,95.0,180.0,85.0,45.0,70.0,60.0,184.0,50.0,1250000
120,92,Gastly,1996,1,Normal,2,Ghost,Poison,1.3,0.1,1,Levitate,,,310.0,30.0,35.0,30.0,100.0,35.0,80.0,190.0,62.0,50.0,1250000
121,93,Haunter,1996,1,Normal,2,Ghost,Poison,1.6,0.1,1,Levitate,,,405.0,45.0,50.0,45.0,115.0,55.0,95.0,90.0,142.0,50.0,1059860
122,94,Gengar,1996,1,Normal,2,Ghost,Poison,1.5,40.5,1,Cursed Body,,,500.0,60.0,65.0,60.0,130.0,75.0,110.0,45.0,225.0,50.0,1059860
123,94,Mega Gengar,1996,1,Normal,2,Ghost,Poison,1.4,40.5,1,Shadow Tag,,,600.0,60.0,65.0,80.0,170.0,95.0,130.0,45.0,270.0,50.0,1059860
124,95,Onix,1996,1,Normal,2,Rock,Ground,8.8,210.0,3,Rock Head,Sturdy,Weak Armor,385.0,35.0,45.0,160.0,30.0,45.0,70.0,45.0,77.0,50.0,1059860
125,96,Drowzee,1996,1,Normal,1,Psychic,,1.0,32.4,3,Insomnia,Forewarn,Inner Focus,328.0,60.0,48.0,45.0,43.0,90.0,42.0,190.0,66.0,50.0,1000000
126,97,Hypno,1996,1,Normal,1,Psychic,,1.6,75.6,3,Insomnia,Forewarn,Inner Focus,483.0,85.0,73.0,70.0,73.0,115.0,67.0,75.0,169.0,50.0,1000000
127,98,Krabby,1996,1,Normal,1,Water,,0.4,6.5,3,Hyper Cutter,Shell Armor,Sheer Force,325.0,30.0,105.0,90.0,25.0,25.0,50.0,225.0,65.0,50.0,1000000
128,99,Kingler,1996,1,Normal,1,Water,,1.3,60.0,3,Hyper Cutter,Shell Armor,Sheer Force,475.0,55.0,130.0,115.0,50.0,50.0,75.0,60.0,166.0,50.0,1000000
129,100,Voltorb,1996,1,Normal,1,Electric,,0.5,10.4,3,Soundproof,Static,Aftermath,330.0,40.0,30.0,50.0,55.0,55.0,100.0,190.0,66.0,,1000000
130,101,Electrode,1996,1,Normal,1,Electric,,1.2,66.6,3,Soundproof,Static,Aftermath,490.0,60.0,50.0,70.0,80.0,80.0,150.0,60.0,172.0,,1000000
131,102,Exeggcute,1996,1,Normal,2,Grass,Psychic,0.4,2.5,2,Chlorophyll,,Harvest,325.0,60.0,40.0,80.0,60.0,45.0,40.0,90.0,65.0,50.0,1000000
132,103,Exeggutor,1996,1,Normal,2,Grass,Psychic,2.0,120.0,2,Chlorophyll,,Harvest,530.0,95.0,95.0,85.0,125.0,75.0,55.0,45.0,186.0,50.0,1250000
133,103,Alolan Exeggutor,1996,1,Normal,2,Grass,Dragon,10.9,415.6,2,Frisk,,Harvest,530.0,95.0,105.0,85.0,125.0,75.0,45.0,45.0,186.0,50.0,1250000
134,104,Cubone,1996,1,Normal,1,Ground,,0.4,6.5,3,Rock Head,Lightning Rod,Battle Armor,320.0,50.0,50.0,95.0,40.0,50.0,35.0,190.0,64.0,50.0,1250000
135,105,Marowak,1996,1,Normal,1,Ground,,1.0,45.0,3,Rock Head,Lightning Rod,Battle Armor,425.0,60.0,80.0,110.0,50.0,80.0,45.0,75.0,149.0,50.0,1000000
136,105,Alolan Marowak,1996,1,Normal,2,Fire,Ghost,1.0,34.0,3,Cursed Body,Lightning Rod,Rock Head,425.0,60.0,80.0,110.0,50.0,80.0,45.0,75.0,149.0,50.0,1000000
137,106,Hitmonlee,1996,1,Normal,1,Fighting,,1.5,49.8,3,Limber,Reckless,Unburden,455.0,50.0,120.0,53.0,35.0,110.0,87.0,45.0,159.0,100.0,1000000
138,107,Hitmonchan,1996,1,Normal,1,Fighting,,1.4,50.2,3,Keen Eye,Iron Fist,Inner Focus,455.0,50.0,105.0,79.0,35.0,110.0,76.0,45.0,159.0,100.0,1000000
139,108,Lickitung,1996,1,Normal,1,Normal,,1.2,65.5,3,Own Tempo,Oblivious,Cloud Nine,385.0,90.0,55.0,75.0,60.0,75.0,30.0,45.0,77.0,50.0,1000000
